Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.103, 29, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.021, 2, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 2.214, 1123, 177
local, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.063, 11, 4
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 2528.36, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 1911.19, 29697, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 1893.9, 81664, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 1798.83, 51968, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 1549.42, 66812, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 1206.94, 26897, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 1179.1, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 1187.02, 37120, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 1161.69, 81665, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 1019.94, 37121, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 1010.35, 59392, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 974.578, 37138, 7424
global, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 40922.3, 29696, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 3059.26, 44544, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 1949.57, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 1385.79, 81664, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 1356.62, 66812, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 1152.16, 51968, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 1091.32, 37121, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 1086.28, 26897, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 996.036, 81665, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 977.953, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 943.846, 59392, 7424
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 5.516, 1683, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 3.688, 1377, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 2.323, 1076, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 0.068, 9, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 2.076, 667, 113
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 0.017, 2, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 1.706, 459, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 3.506, 1144, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.625, 310, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 2.957, 1081, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.026, 1, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 3.616, 1832, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 186.784, 1683, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 29.728, 2299, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 20.001, 1381, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 8.22, 1377, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 12.394, 1072, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 7.24, 766, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 3.954, 310, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 2.371, 480, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 3.406, 459, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 7.947, 1224, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.082, 2, 0
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.057, 1, 0
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 3.923, 1377, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.704, 1144, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 5.704, 2299, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 1.964, 459, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 4.544, 310, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.719, 1276, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 3.516, 1832, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.253, 256, 133
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 3.508, 1683, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 2.62, 766, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 5.97, 667, 113
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.204, 54, 14
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.044, 2, 0
czero, BestFS, Dekker-PT-010-CTLCardinality-15 F, 1.114, 159, 111
czero, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.049, 1, 0
global, BestFS, Dekker-PT-010-CTLCardinality-15 F, 14548.4, 36878, 6144
global, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.042, 1, 0
local, BestFS, Dekker-PT-010-CTLCardinality-9 F, 51409.6, 18447, 6144
local, BestFS, Dekker-PT-010-CTLCardinality-15 F, 2.2, 301, 111
local, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.065, 1, 0
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 181.28, 10246, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 95.385, 3089, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 76.338, 8484, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 65.002, 5144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 60.925, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 52.071, 5121, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 51.024, 3110, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 54.832, 5224, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 49.08, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 41.225, 7020, 984
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 43.395, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 43.188, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.092, 18, 0
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 1.498, 443, 205
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 4033.39, 7237, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 3617.16, 10246, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 2962.24, 3089, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 663.232, 13348, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 665.828, 9218, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 471.358, 5121, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 428.49, 7168, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 398.536, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 383.254, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 372.264, 5144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 353.087, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 155.854, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 96.143, 3133, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.07, 18, 0
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 90.745, 3089, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 74.432, 8484, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 62.942, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 60.218, 5144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 53.234, 5121, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 48.347, 7020, 984
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 44.782, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 40.714, 3073, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 42.29, 3073, 1024
