Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, CDFS, Dekker-PT-010-CTLCardinality-9 F, 2126.18, 16912, 5633
czero, CDFS, Dekker-PT-010-CTLCardinality-2 F, 1649.46, 27002, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-1 F, 1486.75, 24579, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-11 F, 1163.12, 15466, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-3 F, 996.623, 12302, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-0 T, 998.305, 12290, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-5 F, 898.751, 12303, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-4 T, 1015.97, 12289, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-8 F, 941.841, 12288, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-13 T, 871.981, 18518, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-12 T, 856.246, 24577, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-15 F, 1.395, 159, 111
czero, DFS, Dekker-PT-010-CTLCardinality-9 F, 2282.39, 16912, 5633
global, BBFS, Dekker-PT-010-CTLCardinality-13 T, 2697.6, 18518, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-15 F, 1644.83, 36878, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-10 F, 1562.72, 24576, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-3 F, 995.936, 12302, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-12 T, 956.082, 24577, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-5 F, 876.25, 12303, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-4 T, 841.045, 12289, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-9 F, 999.789, 18447, 6144
global, BBFS, Dekker-PT-010-CTLCardinality-14 T, 0.026, 1, 0
global, BDFS, Dekker-PT-010-CTLCardinality-9 F, 945.803, 18447, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-8 F, 823.824, 12288, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-3 F, 960.949, 12302, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-4 T, 873.054, 12289, 6144
global, BFS, Dekker-PT-010-CTLCardinality-12 T, 952.086, 24577, 6144
global, DFS, Dekker-PT-010-CTLCardinality-15 F, 1566.76, 36878, 6144
global, DFS, Dekker-PT-010-CTLCardinality-4 T, 869.966, 12289, 6144
global, DFS, Dekker-PT-010-CTLCardinality-9 F, 859.934, 18447, 6144
local, BBFS, Dekker-PT-010-CTLCardinality-9 F, 645.373, 18447, 6144
local, BDFS, Dekker-PT-010-CTLCardinality-2 F, 2351.89, 67575, 6144
local, BDFS, Dekker-PT-010-CTLCardinality-10 F, 1330.4, 24576, 6144
local, BDFS, Dekker-PT-010-CTLCardinality-15 F, 2.713, 301, 111
local, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.02, 1, 0
local, BFS, Dekker-PT-010-CTLCardinality-6 F, 2752.81, 61443, 6144
local, BFS, Dekker-PT-010-CTLCardinality-1 F, 1326.93, 43008, 6144
local, BFS, Dekker-PT-010-CTLCardinality-10 F, 1306.11, 24576, 6144
local, BFS, Dekker-PT-010-CTLCardinality-11 F, 1367.23, 30732, 6144
local, BFS, Dekker-PT-010-CTLCardinality-8 F, 641.492, 12288, 6144
local, BFS, Dekker-PT-010-CTLCardinality-14 T, 0.02, 1, 0
local, BFS, Dekker-PT-010-CTLCardinality-15 F, 2.633, 301, 111
local, DFS, Dekker-PT-010-CTLCardinality-7 T, 1848.6, 48848, 6144
local, DFS, Dekker-PT-010-CTLCardinality-9 F, 623.57, 16912, 5633
local, DFS, Dekker-PT-010-CTLCardinality-0 T, 602.981, 12290, 6144
local, DFS, Dekker-PT-010-CTLCardinality-14 T, 0.037, 1, 0
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 77.952, 10246, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 63.336, 3089, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 52.253, 7190, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 43.812, 4653, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 32.291, 5121, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 31.536, 5136, 1014
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 29.442, 6144, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 22.918, 3110, 1024
czero, BBFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 22.978, 3073, 1024
