Algorithm, Search strategy, Query, Modelname, #Results)
local, BestFS, CTLCardinality, PhilosophersDyn-PT-20, 
local, BestFS, CTLFireability, PhilosophersDyn-PT-20, 
local, BestFS, CTLFireabilitySimple, PhilosophersDyn-PT-20, 
local, BestFS, CTLCardinality, Planning-PT-none, 
local, BestFS, CTLFireability, Planning-PT-none, 
local, BestFS, CTLFireabilitySimple, Planning-PT-none, 
local, BestFS, CTLCardinality, ProductionCell-PT-none, 
local, BestFS, CTLFireability, ProductionCell-PT-none, 
local, BestFS, CTLFireabilitySimple, ProductionCell-PT-none, 
local, BestFS, CTLCardinality, Railroad-PT-005, 15
local, BestFS, CTLFireability, Railroad-PT-005, 11
local, BestFS, CTLFireabilitySimple, Railroad-PT-005, 12
local, BestFS, CTLCardinality, Railroad-PT-010, 4
local, BestFS, CTLFireability, Railroad-PT-010, 4
local, BestFS, CTLFireabilitySimple, Railroad-PT-010, 9
local, BestFS, CTLCardinality, Railroad-PT-020, 2
local, BestFS, CTLFireability, Railroad-PT-020, 3
local, BestFS, CTLFireabilitySimple, Railroad-PT-020, 10
local, BestFS, CTLCardinality, ResAllocation-PT-R002C002, 14
local, BestFS, CTLFireability, ResAllocation-PT-R002C002, 14
local, BestFS, CTLFireabilitySimple, ResAllocation-PT-R002C002, 15
local, BestFS, CTLCardinality, ResAllocation-PT-R003C002, 15
local, BestFS, CTLFireability, ResAllocation-PT-R003C002, 12
local, BestFS, CTLFireabilitySimple, ResAllocation-PT-R003C002, 12
local, BestFS, CTLCardinality, ResAllocation-PT-R003C003, 14
local, BestFS, CTLFireability, ResAllocation-PT-R003C003, 14
local, BestFS, CTLFireabilitySimple, ResAllocation-PT-R003C003, 14
local, BestFS, CTLCardinality, Ring-PT-none, 
local, BestFS, CTLFireability, Ring-PT-none, 
local, BestFS, CTLFireabilitySimple, Ring-PT-none, 
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0010, 14
local, BestFS, CTLFireability, RwMutex-PT-r0010w0010, 14
local, BestFS, CTLFireabilitySimple, RwMutex-PT-r0010w0010, 15
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0020, 15
local, BestFS, CTLFireability, RwMutex-PT-r0010w0020, 12
local, BestFS, CTLFireabilitySimple, RwMutex-PT-r0010w0020, 11
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0050, 12
local, BestFS, CTLFireability, RwMutex-PT-r0010w0050, 9
local, BestFS, CTLFireabilitySimple, RwMutex-PT-r0010w0050, 14
local, BestFS, CTLCardinality, SharedMemory-PT-000005, 15
local, BestFS, CTLFireability, SharedMemory-PT-000005, 15
local, BestFS, CTLFireabilitySimple, SharedMemory-PT-000005, 14
