Algorithm, Search strategy, Query, Modelname, #Results),
czero, DFS, CTLFireability, MultiwaySync-PT-none,1,
czero, DFS, CTLFireabilitySimple, MultiwaySync-PT-none, ,
czero, DFS, CTLCardinality, PermAdmissibility-PT-01,13,
czero, DFS, CTLFireability, PermAdmissibility-PT-01,10,
czero, DFS, CTLFireabilitySimple, PermAdmissibility-PT-01,12,
czero, DFS, CTLCardinality, PermAdmissibility-PT-02,1,
czero, DFS, CTLFireability, PermAdmissibility-PT-02,4,
czero, DFS, CTLFireabilitySimple, PermAdmissibility-PT-02,7,
czero, DFS, CTLCardinality, PermAdmissibility-PT-05,8,
czero, DFS, CTLFireability, PermAdmissibility-PT-05,3,
czero, DFS, CTLFireabilitySimple, PermAdmissibility-PT-05,1,
czero, DFS, CTLCardinality, Peterson-PT-2,13,
czero, DFS, CTLFireability, Peterson-PT-2,14,
czero, DFS, CTLFireabilitySimple, Peterson-PT-2,12,
czero, DFS, CTLCardinality, Peterson-PT-3,4,
czero, DFS, CTLFireability, Peterson-PT-3,5,
czero, DFS, CTLFireabilitySimple, Peterson-PT-3,12,
czero, DFS, CTLCardinality, Peterson-PT-4,1,
czero, DFS, CTLFireability, Peterson-PT-4,4,
czero, DFS, CTLFireabilitySimple, Peterson-PT-4,2,
czero, DFS, CTLCardinality, PhilosophersDyn-PT-03,9,
czero, DFS, CTLFireability, PhilosophersDyn-PT-03,9,
czero, DFS, CTLFireabilitySimple, PhilosophersDyn-PT-03,10,
czero, DFS, CTLCardinality, PhilosophersDyn-PT-10,10,
czero, DFS, CTLFireability, PhilosophersDyn-PT-10,8,
czero, DFS, CTLFireabilitySimple, PhilosophersDyn-PT-10,13,
czero, DFS, CTLCardinality, PhilosophersDyn-PT-20,10,
czero, DFS, CTLFireability, PhilosophersDyn-PT-20,6,
czero, DFS, CTLFireabilitySimple, PhilosophersDyn-PT-20,10,
czero, DFS, CTLCardinality, Planning-PT-none, ,
czero, DFS, CTLFireability, Planning-PT-none, ,
czero, DFS, CTLFireabilitySimple, Planning-PT-none, ,
czero, DFS, CTLCardinality, ProductionCell-PT-none, ,
czero, DFS, CTLFireability, ProductionCell-PT-none,1,
czero, DFS, CTLFireabilitySimple, ProductionCell-PT-none,2,
czero, DFS, CTLCardinality, Railroad-PT-005,15,
