Algorithm, Search strategy, Query, Modelname, #Results)
local, BFS, CTLCardinality, HouseConstruction-PT-005, 14
local, DFS, CTLCardinality, HouseConstruction-PT-005, 14
czero, BBFS, CTLCardinality, Kanban-PT-0005, 
czero, BDFS, CTLCardinality, Kanban-PT-0005, 1
czero, BestFS, CTLCardinality, Kanban-PT-0005, 1
czero, BFS, CTLCardinality, Kanban-PT-0005, 1
czero, CDFS, CTLCardinality, Kanban-PT-0005, 5
czero, DFS, CTLCardinality, Kanban-PT-0005, 4
global, BBFS, CTLCardinality, Kanban-PT-0005, 1
global, BDFS, CTLCardinality, Kanban-PT-0005, 1
global, BestFS, CTLCardinality, Kanban-PT-0005, 
global, BFS, CTLCardinality, Kanban-PT-0005, 1
global, DFS, CTLCardinality, Kanban-PT-0005, 
local, BBFS, CTLCardinality, Kanban-PT-0005, 4
local, BDFS, CTLCardinality, Kanban-PT-0005, 1
local, BestFS, CTLCardinality, Kanban-PT-0005, 1
local, BFS, CTLCardinality, Kanban-PT-0005, 3
local, DFS, CTLCardinality, Kanban-PT-0005, 10
czero, BBFS, CTLCardinality, LamportFastMutEx-PT-2, 14
czero, BDFS, CTLCardinality, LamportFastMutEx-PT-2, 14
czero, BestFS, CTLCardinality, LamportFastMutEx-PT-2, 15
czero, BFS, CTLCardinality, LamportFastMutEx-PT-2, 12
czero, CDFS, CTLCardinality, LamportFastMutEx-PT-2, 13
czero, DFS, CTLCardinality, LamportFastMutEx-PT-2, 14
global, BBFS, CTLCardinality, LamportFastMutEx-PT-2, 15
global, BDFS, CTLCardinality, LamportFastMutEx-PT-2, 13
global, BestFS, CTLCardinality, LamportFastMutEx-PT-2, 15
global, BFS, CTLCardinality, LamportFastMutEx-PT-2, 13
global, DFS, CTLCardinality, LamportFastMutEx-PT-2, 13
local, BBFS, CTLCardinality, LamportFastMutEx-PT-2, 11
local, BDFS, CTLCardinality, LamportFastMutEx-PT-2, 13
local, BestFS, CTLCardinality, LamportFastMutEx-PT-2, 12
local, BFS, CTLCardinality, LamportFastMutEx-PT-2, 13
local, DFS, CTLCardinality, LamportFastMutEx-PT-2, 14
czero, BBFS, CTLCardinality, PhilosophersDyn-PT-03, 10
czero, BDFS, CTLCardinality, PhilosophersDyn-PT-03, 5
czero, BestFS, CTLCardinality, PhilosophersDyn-PT-03, 1
czero, BFS, CTLCardinality, PhilosophersDyn-PT-03, 1
czero, CDFS, CTLCardinality, PhilosophersDyn-PT-03, 7
czero, DFS, CTLCardinality, PhilosophersDyn-PT-03, 6
global, BBFS, CTLCardinality, PhilosophersDyn-PT-03, 9
global, BDFS, CTLCardinality, PhilosophersDyn-PT-03, 2
global, BestFS, CTLCardinality, PhilosophersDyn-PT-03, 2
global, BFS, CTLCardinality, PhilosophersDyn-PT-03, 15
global, DFS, CTLCardinality, PhilosophersDyn-PT-03, 2
local, BBFS, CTLCardinality, PhilosophersDyn-PT-03, 7
local, BDFS, CTLCardinality, PhilosophersDyn-PT-03, 11
local, BestFS, CTLCardinality, PhilosophersDyn-PT-03, 5
local, BFS, CTLCardinality, PhilosophersDyn-PT-03, 3
local, DFS, CTLCardinality, PhilosophersDyn-PT-03, 10
czero, BBFS, CTLCardinality, Railroad-PT-005, 11
