Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 17.686, 1381, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 23.647, 2299, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 7.971, 766, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 10.732, 1072, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 7.546, 1377, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 3.325, 480, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 7.625, 1224, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 2.589, 459, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 3.115, 310, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 20.647, 2299, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 5.904, 1683, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 2.073, 459, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 3.776, 1377, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.101, 667, 113
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.067, 1, 0
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.181, 919, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-1 T, 3.74, 54, 14
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.671, 1144, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 3.299, 1832, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 0.048, 2, 0
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 1.63, 310, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 3.337, 766, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.46, 256, 133
czero, BestFS, Dekker-PT-010-CTLCardinality-15 F, 1.625, 159, 111
global, BestFS, Dekker-PT-010-CTLCardinality-15 F, 14115.8, 36878, 6144
global, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.04, 1, 0
local, BestFS, Dekker-PT-010-CTLCardinality-15 F, 2.003, 301, 111
local, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.041, 1, 0
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 132.237, 10246, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 85.249, 3089, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 73.693, 5144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 65.153, 8484, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 66.121, 5121, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 45.81, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 46.243, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 48.524, 5096, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 37.979, 7020, 984
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 42.779, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 41.989, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 2.258, 443, 205
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.025, 7, 0
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 2313.49, 3089, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 1848.39, 10246, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 467.152, 13348, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 427.417, 9218, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 385.004, 5121, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 304.164, 7168, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 289.886, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 291.837, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 286.728, 5144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 235.477, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 126.523, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 76.917, 3133, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.09, 18, 0
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 122.115, 10246, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 81.628, 3089, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-1 F, 74.773, 5134, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 60.388, 8484, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 56.02, 5144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 40.834, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 39.742, 3073, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 43.844, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 37.312, 7020, 984
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 40.973, 5096, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 34.925, 5121, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 39.889, 3073, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 2.344, 443, 205
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.073, 18, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.294, 86, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.202, 49, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.058, 1, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.246, 88, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.161, 27, 5
czero, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.259, 113, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.092, 5, 2
czero, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.031, 9, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.183, 40, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.228, 66, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.086, 28, 7
czero, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.062, 13, 4
global, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.405, 79, 13
global, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.098, 5, 2
global, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.315, 66, 13
global, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.904, 106, 13
global, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.194, 48, 13
global, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.704, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-14 F, 1.276, 117, 13
global, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.105, 9, 0
global, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.187, 40, 13
global, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.264, 57, 13
global, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.015, 1, 0
global, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.36, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.258, 90, 13
local, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.377, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.068, 1, 0
local, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.227, 66, 13
local, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.222, 88, 13
local, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.152, 40, 13
local, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.251, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.239, 94, 13
local, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.131, 28, 7
local, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.136, 57, 13
local, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.051, 5, 2
local, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.103, 27, 5
local, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.032, 9, 0
local, BestFS, ERK-PT-000001-CTLCardinality-1 F, 0.068, 15, 6
czero, BestFS, ERK-PT-000010-CTLCardinality-14 F, 3359.41, 185779, 47046
czero, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.174, 12, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-15 F, 0.072, 13, 7
czero, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.076, 10, 2
