Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 324.861, 7168, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 317.061, 5144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 286.458, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 229.511, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 162.09, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 79.457, 3133, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.194, 18, 0
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 115.331, 10246, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 84.244, 7237, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 81.635, 3089, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 55.922, 7070, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 43.966, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 40.59, 5121, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 51.636, 4597, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-0 F, 40.915, 3132, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 39.65, 3073, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 39.559, 3073, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 28.242, 3566, 602
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 39.663, 5096, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 28.989, 5002, 1005
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 3.094, 719, 342
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.062, 18, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.039, 5, 2
czero, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.123, 28, 7
czero, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.212, 49, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.023, 1, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.094, 27, 5
czero, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.028, 9, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.204, 86, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.25, 113, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.178, 66, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.241, 88, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.134, 40, 13
global, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.394, 113, 13
global, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.29, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.221, 57, 13
global, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.367, 66, 13
global, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.039, 9, 0
global, BestFS, ERK-PT-000001-CTLCardinality-8 F, 1.259, 117, 13
global, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.099, 5, 2
global, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.849, 106, 13
global, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.052, 1, 0
global, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.706, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.214, 40, 13
global, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.346, 79, 13
global, BestFS, ERK-PT-000001-CTLCardinality-0 T, 0.061, 5, 2
global, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.177, 48, 13
global, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.624, 65, 13
local, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.049, 1, 0
local, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.162, 90, 13
local, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.623, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.44, 94, 13
local, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.216, 88, 13
local, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.116, 28, 7
local, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.246, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.144, 57, 13
local, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.048, 5, 2
local, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.034, 9, 0
local, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.106, 27, 5
local, BestFS, ERK-PT-000001-CTLCardinality-1 F, 0.108, 15, 6
czero, BestFS, ERK-PT-000010-CTLCardinality-14 F, 2.127, 1016, 409
