Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 37.519, 7020, 984
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 39.995, 3073, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 34.879, 5121, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 40.671, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 37.646, 5096, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 1.773, 443, 205
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.081, 18, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.107, 28, 7
czero, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.227, 86, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.232, 88, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.229, 113, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.2, 65, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.145, 49, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.031, 40, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.054, 9, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.165, 27, 5
czero, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.015, 1, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.065, 5, 2
czero, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.077, 13, 4
czero, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.192, 57, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.218, 66, 13
global, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.212, 40, 13
global, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.777, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.425, 113, 13
global, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.09, 9, 0
global, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.036, 5, 2
global, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.177, 48, 13
global, BestFS, ERK-PT-000001-CTLCardinality-11 T, 1.11, 117, 13
global, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.894, 106, 13
global, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.299, 57, 13
global, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.318, 79, 13
global, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.639, 65, 13
global, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.047, 1, 0
global, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.315, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.36, 66, 13
global, BestFS, ERK-PT-000001-CTLCardinality-1 F, 0.133, 40, 13
local, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.205, 28, 7
local, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.234, 94, 13
local, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.149, 5, 2
local, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.248, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.197, 88, 13
local, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.063, 1, 0
local, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.038, 9, 0
local, BestFS, ERK-PT-000001-CTLCardinality-0 T, 0.248, 5, 2
local, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.28, 90, 13
local, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.03, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.243, 40, 13
local, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.099, 27, 5
local, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.194, 66, 13
local, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.179, 65, 13
local, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.139, 57, 13
czero, BestFS, ERK-PT-000010-CTLCardinality-14 F, 2848.25, 185779, 47046
czero, BestFS, ERK-PT-000010-CTLCardinality-15 F, 0.098, 13, 7
czero, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.118, 10, 2
czero, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.081, 12, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.039, 7, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.056, 1, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.083, 10, 2
czero, BestFS, ERK-PT-000010-CTLCardinality-10 T, 0.096, 18, 7
global, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.091, 7, 0
global, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.096, 12, 0
global, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.152, 10, 2
global, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.156, 10, 2
global, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.024, 1, 0
local, BestFS, ERK-PT-000010-CTLCardinality-14 F, 2152.59, 185779, 47046
local, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.232, 12, 0
local, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.11, 7, 0
local, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.114, 10, 2
local, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.066, 1, 0
local, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.035, 10, 2
local, BestFS, ERK-PT-000010-CTLCardinality-10 T, 0.059, 18, 7
local, BestFS, ERK-PT-000010-CTLCardinality-15 F, 0.06, 13, 7
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-10 F, 56.338, 7505, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-12 T, 40.695, 9007, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-14 F, 39.023, 5988, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-6 F, 44.206, 6004, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-13 T, 27.272, 4519, 1499
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-15 F, 23.485, 4453, 1497
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-2 T, 24.866, 4342, 1484
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-7 F, 14.429, 4813, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-11 F, 10.848, 3023, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-8 F, 12.438, 3978, 1419
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-5 F, 0.643, 178, 111
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-9 F, 0.874, 292, 111
